sample_id,cluster_label,batch,color
Cell_10748,1,AD6_GM,blue
Cell_10749,1,AD6_GM,blue
Cell_10750,1,AD6_GM,blue
Cell_10751,1,AD6_GM,blue
Cell_10752,1,AD6_GM,blue
Cell_10753,1,AD6_GM,blue
Cell_10754,1,AD6_GM,blue
Cell_10755,2,AD6_GM,cyan
Cell_10756,1,AD6_GM,blue
Cell_10757,2,AD6_GM,cyan
Cell_10758,1,AD6_GM,blue
Cell_10759,1,AD6_GM,blue
Cell_10760,1,AD6_GM,blue
Cell_10761,1,AD6_GM,blue
Cell_10762,1,AD6_GM,blue
Cell_10763,8,AD6_GM,green
Cell_10764,1,AD6_GM,blue
Cell_10765,1,AD6_GM,blue
Cell_10766,1,AD6_GM,blue
Cell_10767,2,AD6_GM,cyan
Cell_10768,1,AD6_GM,blue
Cell_10769,1,AD6_GM,blue
Cell_10770,2,AD6_GM,cyan
Cell_10771,8,AD6_GM,green
Cell_10772,2,AD6_GM,cyan
Cell_10773,2,AD6_GM,cyan
Cell_10774,8,AD6_GM,green
Cell_10775,2,AD6_GM,cyan
Cell_10776,8,AD6_GM,green
Cell_10777,1,AD6_GM,blue
Cell_10778,2,AD6_GM,cyan
Cell_10779,1,AD6_GM,blue
Cell_10780,1,AD6_GM,blue
Cell_10781,1,AD6_GM,blue
Cell_10782,1,AD6_GM,blue
Cell_10783,1,AD6_GM,blue
Cell_10784,1,AD6_GM,blue
Cell_10785,1,AD6_GM,blue
Cell_10786,1,AD6_GM,blue
Cell_10787,1,AD6_GM,blue
Cell_10788,1,AD6_GM,blue
Cell_10789,1,AD6_GM,blue
Cell_10790,2,AD6_GM,cyan
Cell_10791,2,AD6_GM,cyan
Cell_10792,2,AD6_GM,cyan
Cell_10793,2,AD6_GM,cyan
Cell_10794,2,AD6_GM,cyan
Cell_10795,2,AD6_GM,cyan
Cell_10796,1,AD6_GM,blue
Cell_10797,1,AD6_GM,blue
Cell_10798,2,AD6_GM,cyan
Cell_10799,1,AD6_GM,blue
Cell_10800,2,AD6_GM,cyan
Cell_10801,1,AD6_GM,blue
Cell_10802,2,AD6_GM,cyan
Cell_10803,1,AD6_GM,blue
Cell_10804,4,AD6_GM,brown
Cell_10805,1,AD6_GM,blue
Cell_10806,1,AD6_GM,blue
Cell_10807,1,AD6_GM,blue
Cell_10808,1,AD6_GM,blue
Cell_10809,1,AD6_GM,blue
Cell_10810,2,AD6_GM,cyan
Cell_10811,2,AD6_GM,cyan
Cell_10812,2,AD6_GM,cyan
Cell_10813,2,AD6_GM,cyan
Cell_10814,1,AD6_GM,blue
Cell_10815,1,AD6_GM,blue
Cell_10816,1,AD6_GM,blue
Cell_10817,1,AD6_GM,blue
Cell_10818,1,AD6_GM,blue
Cell_10819,1,AD6_GM,blue
Cell_10820,1,AD6_GM,blue
Cell_10821,1,AD6_GM,blue
Cell_10822,2,AD6_GM,cyan
Cell_10823,1,AD6_GM,blue
Cell_10824,1,AD6_GM,blue
Cell_10825,1,AD6_GM,blue
Cell_10826,1,AD6_GM,blue
Cell_10827,1,AD6_GM,blue
Cell_10828,2,AD6_GM,cyan
Cell_10829,1,AD6_GM,blue
Cell_10830,1,AD6_GM,blue
Cell_10831,1,AD6_GM,blue
Cell_10832,1,AD6_GM,blue
Cell_10833,2,AD6_GM,cyan
Cell_10834,2,AD6_GM,cyan
Cell_10835,2,AD6_GM,cyan
Cell_10836,1,AD6_GM,blue
Cell_10837,1,AD6_GM,blue
Cell_10838,1,AD6_GM,blue
Cell_10839,1,AD6_GM,blue
Cell_10840,1,AD6_GM,blue
Cell_10841,1,AD6_GM,blue
Cell_10842,2,AD6_GM,cyan
Cell_10843,1,AD6_GM,blue
Cell_10844,1,AD6_GM,blue
Cell_10845,1,AD6_GM,blue
Cell_10846,1,AD6_GM,blue
Cell_10847,2,AD6_GM,cyan
Cell_10848,8,AD6_GM,green
Cell_10849,1,AD6_GM,blue
Cell_10850,1,AD6_GM,blue
Cell_10851,1,AD6_GM,blue
Cell_10852,1,AD6_GM,blue
Cell_10853,11,AD6_GM,pink
Cell_10854,2,AD6_GM,cyan
Cell_10855,2,AD6_GM,cyan
Cell_10856,1,AD6_GM,blue
Cell_10857,1,AD6_GM,blue
Cell_10858,1,AD6_GM,blue
Cell_10859,1,AD6_GM,blue
Cell_10860,1,AD6_GM,blue
Cell_10861,2,AD6_GM,cyan
Cell_10862,8,AD6_GM,green
Cell_10863,1,AD6_GM,blue
Cell_10864,1,AD6_GM,blue
Cell_10865,2,AD6_GM,cyan
Cell_10866,1,AD6_GM,blue
Cell_10867,2,AD6_GM,cyan
Cell_10868,1,AD6_GM,blue
Cell_10869,1,AD6_GM,blue
Cell_10870,2,AD6_GM,cyan
Cell_10871,5,AD6_GM,yellow
Cell_10872,1,AD6_GM,blue
Cell_10873,1,AD6_GM,blue
Cell_10874,8,AD6_GM,green
Cell_10875,1,AD6_GM,blue
Cell_10876,8,AD6_GM,green
Cell_10877,1,AD6_GM,blue
Cell_10878,1,AD6_GM,blue
Cell_10879,1,AD6_GM,blue
Cell_10880,11,AD6_GM,pink
Cell_10881,8,AD6_GM,green
Cell_10882,1,MCI4_GM,blue
Cell_10883,1,MCI4_GM,blue
Cell_10884,2,MCI4_GM,cyan
Cell_10885,2,MCI4_GM,cyan
Cell_10886,1,MCI4_GM,blue
Cell_10887,1,MCI4_GM,blue
Cell_10888,1,MCI4_GM,blue
Cell_10889,1,MCI4_GM,blue
Cell_10890,2,MCI4_GM,cyan
Cell_10891,2,MCI4_GM,cyan
Cell_10892,2,MCI4_GM,cyan
Cell_10893,2,MCI4_GM,cyan
Cell_10894,1,MCI4_GM,blue
Cell_10895,2,MCI4_GM,cyan
Cell_10896,2,MCI4_GM,cyan
Cell_10897,2,MCI4_GM,cyan
Cell_10898,1,MCI4_GM,blue
Cell_10899,1,MCI4_GM,blue
Cell_10900,1,MCI4_GM,blue
Cell_10901,1,MCI4_GM,blue
Cell_10902,1,MCI4_GM,blue
Cell_10903,1,MCI4_GM,blue
Cell_10904,2,MCI4_GM,cyan
Cell_10905,1,MCI4_GM,blue
Cell_10906,1,MCI4_GM,blue
Cell_10907,1,MCI4_GM,blue
Cell_10908,2,MCI4_GM,cyan
Cell_10909,2,MCI4_GM,cyan
Cell_10910,2,MCI4_GM,cyan
Cell_10911,1,MCI4_GM,blue
Cell_10912,2,MCI4_GM,cyan
Cell_10913,2,MCI4_GM,cyan
Cell_10914,1,MCI4_GM,blue
Cell_10915,1,MCI4_GM,blue
Cell_10916,1,MCI4_GM,blue
Cell_10917,1,MCI4_GM,blue
Cell_10918,2,MCI4_GM,cyan
Cell_10919,1,MCI4_GM,blue
Cell_10920,1,MCI4_GM,blue
Cell_10921,1,MCI4_GM,blue
Cell_10922,1,MCI4_GM,blue
Cell_10923,5,MCI4_GM,yellow
Cell_10924,2,MCI4_GM,cyan
Cell_10925,2,MCI4_GM,cyan
Cell_10926,1,MCI4_GM,blue
Cell_10927,1,MCI4_GM,blue
Cell_10928,1,MCI4_GM,blue
Cell_10929,2,MCI4_GM,cyan
Cell_10930,2,MCI4_GM,cyan
Cell_10931,2,MCI4_GM,cyan
Cell_10932,1,MCI4_GM,blue
Cell_10933,2,MCI4_GM,cyan
Cell_10934,1,MCI4_GM,blue
Cell_10935,1,MCI4_GM,blue
Cell_10936,3,MCI4_GM,purple
Cell_10937,1,MCI4_GM,blue
Cell_10938,1,MCI4_GM,blue
Cell_10939,1,MCI4_GM,blue
Cell_10940,2,MCI4_GM,cyan
Cell_10941,2,MCI4_GM,cyan
Cell_10942,2,MCI4_GM,cyan
Cell_10943,2,MCI4_GM,cyan
Cell_10944,2,MCI4_GM,cyan
Cell_10945,2,MCI4_GM,cyan
Cell_10946,1,MCI4_GM,blue
Cell_10947,2,MCI4_GM,cyan
Cell_10948,1,MCI4_GM,blue
Cell_10949,1,MCI4_GM,blue
Cell_10950,1,MCI4_GM,blue
Cell_10951,2,MCI4_GM,cyan
Cell_10952,1,MCI4_GM,blue
Cell_10953,1,MCI4_GM,blue
Cell_10954,4,MCI4_GM,brown
Cell_10955,2,MCI4_GM,cyan
Cell_10956,1,MCI4_GM,blue
Cell_10957,2,MCI4_GM,cyan
Cell_10958,1,MCI4_GM,blue
Cell_10959,1,MCI4_GM,blue
Cell_10960,8,MCI4_GM,green
Cell_10961,2,MCI4_GM,cyan
Cell_10962,2,MCI4_GM,cyan
Cell_10963,1,MCI4_GM,blue
Cell_10964,1,MCI4_GM,blue
Cell_10965,2,MCI4_GM,cyan
Cell_10966,1,MCI4_GM,blue
Cell_10967,1,MCI4_GM,blue
Cell_10968,1,MCI4_GM,blue
Cell_10969,1,MCI4_GM,blue
Cell_10970,2,MCI4_GM,cyan
Cell_10971,2,MCI4_GM,cyan
Cell_10972,1,MCI4_GM,blue
Cell_10973,1,MCI4_GM,blue
Cell_10974,2,MCI4_GM,cyan
Cell_10975,1,MCI4_GM,blue
Cell_10976,2,MCI4_GM,cyan
Cell_10977,2,MCI4_GM,cyan
Cell_10978,1,MCI4_GM,blue
Cell_10979,1,MCI4_GM,blue
Cell_10980,2,MCI4_GM,cyan
Cell_10981,1,MCI4_GM,blue
Cell_10982,1,MCI4_GM,blue
Cell_10983,1,MCI4_GM,blue
Cell_10984,1,MCI4_GM,blue
Cell_10985,2,MCI4_GM,cyan
Cell_10986,1,MCI4_GM,blue
Cell_10987,2,MCI4_GM,cyan
Cell_10988,2,MCI4_GM,cyan
Cell_10989,8,MCI4_GM,green
Cell_10990,2,MCI4_GM,cyan
Cell_10991,2,MCI4_GM,cyan
Cell_10992,1,MCI4_GM,blue
Cell_10993,1,MCI4_GM,blue
Cell_10994,8,MCI4_GM,green
Cell_10995,2,MCI4_GM,cyan
Cell_10996,2,MCI4_GM,cyan
Cell_10997,1,MCI4_GM,blue
Cell_10998,1,MCI4_GM,blue
Cell_10999,1,MCI4_GM,blue
Cell_11000,1,MCI4_GM,blue
Cell_11001,2,MCI4_GM,cyan
Cell_11002,2,MCI4_GM,cyan
Cell_11003,1,MCI4_GM,blue
Cell_11004,1,MCI4_GM,blue
Cell_11005,1,MCI4_GM,blue
Cell_11006,1,MCI4_GM,blue
Cell_11007,1,MCI4_GM,blue
Cell_11008,1,MCI4_GM,blue
Cell_11009,1,MCI4_GM,blue
Cell_11010,1,MCI4_GM,blue
Cell_11011,1,MCI4_GM,blue
Cell_11012,1,MCI4_GM,blue
Cell_11013,1,MCI4_GM,blue
Cell_11014,1,MCI4_GM,blue
Cell_11015,1,MCI4_GM,blue
Cell_11016,2,MCI4_GM,cyan
Cell_11017,2,MCI4_GM,cyan
Cell_11018,1,MCI4_GM,blue
Cell_11019,2,MCI4_GM,cyan
Cell_11020,1,MCI4_GM,blue
Cell_11021,1,MCI4_GM,blue
Cell_11022,1,MCI4_GM,blue
Cell_11023,2,MCI4_GM,cyan
Cell_11024,2,MCI4_GM,cyan
Cell_11025,2,MCI4_GM,cyan
Cell_11026,2,MCI4_GM,cyan
Cell_11027,1,MCI4_GM,blue
Cell_11028,2,MCI4_GM,cyan
Cell_11029,1,MCI4_GM,blue
Cell_11030,1,MCI4_GM,blue
Cell_11031,1,MCI4_GM,blue
Cell_11032,1,MCI4_GM,blue
Cell_11033,2,MCI4_GM,cyan
Cell_11034,1,MCI4_GM,blue
Cell_11035,1,MCI4_GM,blue
Cell_11036,2,MCI4_GM,cyan
Cell_11037,2,MCI4_GM,cyan
Cell_11038,1,MCI4_GM,blue
Cell_11039,1,MCI4_GM,blue
Cell_11040,2,MCI4_GM,cyan
Cell_11041,1,MCI4_GM,blue
Cell_11042,2,MCI4_GM,cyan
Cell_11043,2,MCI4_GM,cyan
Cell_11044,7,MCI4_GM,darkgreen
Cell_11045,1,MCI4_GM,blue
Cell_11046,1,MCI4_GM,blue
Cell_11047,2,MCI4_GM,cyan
Cell_11048,2,MCI4_GM,cyan
Cell_11049,1,MCI4_GM,blue
Cell_11050,1,MCI4_GM,blue
Cell_11051,1,MCI4_GM,blue
Cell_11052,6,MCI4_GM,orange
Cell_11053,1,MCI4_GM,blue
Cell_11054,1,MCI4_GM,blue
Cell_11055,2,MCI4_GM,cyan
Cell_11056,2,MCI4_GM,cyan
Cell_11057,1,MCI4_GM,blue
Cell_11058,1,MCI4_GM,blue
Cell_11059,1,MCI4_GM,blue
Cell_11060,8,MCI4_GM,green
Cell_11061,1,MCI4_GM,blue
Cell_11062,5,MCI4_GM,yellow
Cell_11063,1,MCI4_GM,blue
Cell_11064,1,MCI4_GM,blue
Cell_11065,1,MCI4_GM,blue
Cell_11066,2,MCI4_GM,cyan
Cell_11067,1,MCI4_GM,blue
Cell_11068,1,MCI4_GM,blue
Cell_11069,2,MCI4_GM,cyan
Cell_11070,1,MCI4_GM,blue
Cell_11071,2,MCI4_GM,cyan
Cell_11072,1,MCI4_GM,blue
Cell_11073,2,MCI4_GM,cyan
Cell_11074,2,MCI4_GM,cyan
Cell_11075,1,MCI4_GM,blue
Cell_11076,1,MCI4_GM,blue
Cell_11077,1,MCI4_GM,blue
Cell_11078,1,MCI4_GM,blue
Cell_11079,2,MCI4_GM,cyan
Cell_11080,1,MCI4_GM,blue
Cell_11081,1,MCI4_GM,blue
Cell_11082,1,MCI4_GM,blue
Cell_11083,8,MCI4_GM,green
Cell_11084,1,MCI4_GM,blue
Cell_11085,2,MCI4_GM,cyan
Cell_11086,1,MCI4_GM,blue
Cell_11087,1,MCI4_GM,blue
Cell_11088,2,MCI4_GM,cyan
Cell_11089,1,MCI4_GM,blue
Cell_11090,2,MCI4_GM,cyan
Cell_11091,2,MCI4_GM,cyan
Cell_11092,1,MCI4_GM,blue
